payment_type,date,year,total_fare,total_tips,total_tolls,total_extras,trip_total,total_trp_miles,total_trip_minutes
Cash,2020-07-28,2020,38663.5,11.65,6.09,1483.69,40164.93,6634.46,34390.666666666621
Cash,2020-07-29,2020,28341.01,5.7,3,1272.75,29622.46,6574.3700000000044,31111.483333333308
Cash,2020-07-30,2020,29145.679999999997,19.099999999999998,1.9,1539.65,30706.899999999998,6810.780000000017,34522.216666666689
Cash,2020-07-31,2020,35239.01,9,7.9,4997.93,40253.84,8179.440000000006,37604.900000000009
Cash,2020-08-01,2020,30814.049999999996,1,8.8,6565.07,37388.92,7393.8600000000179,32639.616666666647
Cash,2020-08-02,2020,27002.819999999992,19.45,3.8,2490.83,29516.899999999991,6741.7300000000059,32673.06666666668
Cash,2020-08-03,2020,34808.63,2,5.3,2287.53,37103.46,8398.4000000000287,41384.200000000012
Cash,2020-08-04,2020,34627.369999999988,2.5,10.3,1622.96,36263.13,7699.89000000001,40686.48333333333
Cash,2020-08-05,2020,30788.150000000005,1,6,1310.8600000000001,32106.010000000002,7348.2900000000063,36495.666666666672
Cash,2020-08-06,2020,35600.51,7.5,3.4,1460.03,37071.51,7870.5700000000088,39437.283333333377
Cash,2020-08-07,2020,34626.960000000014,12.95,3,3043.9300000000003,37686.840000000011,8261.4900000000089,38969.499999999949
Cash,2020-08-08,2020,27337.100000000002,0,6.41,9465.5299999999988,36809.04,6543.9300000000057,30159.11666666665
Cash,2020-08-09,2020,27222.350000000002,4.25,3.6,2083.06,29313.260000000006,7365.8700000000063,33059.600000000013
Cash,2020-08-10,2020,35665.739999999991,14.6,4,2116.71,37801.55,9048.3200000000179,36253.983333333344
Cash,2020-08-11,2020,31652.87,3,0,1473.28,33129.229999999996,7299.3000000000129,38200.166666666635
Cash,2020-08-12,2020,32872.350000000006,2.05,7.7,1469.5,34352.4,8598.41000000001,37195.733333333323
Cash,2020-08-13,2020,39313.79,7,11.9,1608.38,40941.570000000007,8193.51000000001,46091.650000000038
Cash,2020-08-14,2020,37126.68,9.1,3.8,2125.43,39265.010000000009,8889.4700000000157,44710.550000000025
Cash,2020-08-15,2020,29317.329999999998,6,4.9,1661.5,30989.73,7152.2699999999986,30190.266666666696
Cash,2020-08-16,2020,28215.27,9.4,0,2281.35,30506.02,7543.7899999999981,33160.933333333393
Cash,2020-08-17,2020,33097.07,2.45,2.6,1730.05,34832.170000000006,7954.4299999999976,35369.933333333349
Cash,2020-08-18,2020,32296.579999999998,23.650000000000002,5.6,1509.19,33835.020000000004,7331.0100000000166,37785.349999999977
Cash,2020-08-19,2020,31623.920000000002,18.8,0,1592.47,33235.19,7580.21000000002,35145.766666666692
Cash,2020-08-20,2020,33568.58,22.450000000000003,1.5,1495.25,35087.780000000006,8064.4200000000155,38960.850000000028
Cash,2020-08-21,2020,37923.57,0,1.5,1998.06,39924.130000000005,9100.7100000000064,45831.716666666718
Cash,2020-08-22,2020,27741.910000000003,0,4.5,1513.51,29260.420000000006,6547.7400000000152,28439.833333333339
Cash,2020-08-23,2020,26233.61,24.45,5.15,2141.1099999999997,28404.32,6767.2600000000157,26051.849999999984
Cash,2020-08-24,2020,34185.340000000004,13.15,12.9,1628,35839.39,8200.5400000000063,41145.499999999993
Cash,2020-08-25,2020,32953.81,6.1,0,1623.6100000000001,34583.51999999999,8098.2099999999973,35503.43333333332
Cash,2020-08-26,2020,33822.840000000004,0,70,1274.6,35167.44,8012.5799999999954,35890.483333333352
Cash,2020-08-27,2020,35032.729999999996,0,0,1624.5,36657.23,8526.9800000000159,40118.6333333333
Cash,2020-08-28,2020,35359.99,7.05,0,7032.83,42400.369999999995,8316.7900000000063,41608.983333333352
Cash,2020-08-29,2020,25619.429999999997,9.2,0,1764.06,27392.689999999995,6199.15000000001,27762.766666666688
Cash,2020-08-30,2020,25244.769999999997,8,2,2292.5,27547.27,6491.3600000000015,32413.916666666664
Cash,2020-08-31,2020,33601.939999999995,13,0,1751.18,35366.119999999995,8164.4200000000055,39437.333333333263
Cash,2020-09-01,2020,37020.369999999988,5.1,4.5,1604.49,38634.459999999985,9165.40000000004,41083.833333333336
Cash,2020-09-02,2020,33845.42,5,3,1597.1100000000001,35450.53,7932.1000000000258,40239.933333333363
Cash,2020-09-03,2020,45650.069999999992,2,0,1638.26,47290.329999999994,9429.76000000003,46414.083333333307
